title,loc,desc
3000 A.D. Diffusion Piece,"J. Hood Wright Park

Manhattan",Monolith of eight magnesium and aluminum plates with steel bolts set on steel base set in concrete pad with plaque
307th Infantry Memorial Grove,"Central Park

Manhattan","15 tree markers, boulder, plaque"
369th Infantry Regiment Memorial,"Harlem River Park

Manhattan",Obelisk (in 3 sections) with engraved and painted inscriptions
A Bird Named Goldilocks,"Clove Lakes Park

Staten Island","Hollowed out tree-stump form with a bird at a ""fairy-sized table setting"" in the hollow, placed at ground level, with information plaque in pavement in front of sculpture"
Abingdon Square Doughboy,"Abingdon Square

Manhattan",Figure (heroic scale) on pedestal
Abraham De Peyster,"Thomas Paine Park

Manhattan","Seated figure (over life-size) with integral plinth, on pedestal"
Abraham Lincoln,"Prospect Park

Brooklyn","Standing figure (over life-size) on integral plinth on pedestal with wreaths and insignia of US Army and Navy at front and rear, and two eagles, one proper left and one proper right"
Abraham Lincoln,"Grand Army Plaza

Brooklyn",Medium relief
Abraham Lincoln,"Union Square Park

Manhattan",Standing figure (over life-size) with integral plinth on pedestal
Admiral David Glasgow Farragut,"Madison Square Park

Manhattan","Standing figure (over life-size) with integral plinth, on pedestal with extended exedra wings; pedestal has bas-relief of sword in ocean waves; each wing  has a life-size bas-relief of seated female figure"
Admiral George Dewey Memorial,"The Battery

Manhattan",Plaque with two relief medallions on plinth
Adoption of the Constitution,"Van Cortlandt Park

Bronx",Plaque on boulder
African Antelopes,"Central Park

Manhattan",Bas-relief in three continuous sections
Alamo,No location,Tilted cube on pivot
Alben Square Flagstaff,"Alben Square

Brooklyn",Flagstaff with plaque
Albert Bertel Thorvaldsen,"Central Park

Manhattan",Portrait statue on pedestal with medallions
Alexander Hamilton,"Central Park

Manhattan","Standing figure (over life-size) on intergral plinth, on pedestal"
Alexander Lyman Holley,"Washington Square Park

Manhattan","Bust on a high central stele joined by screens to shorter side steles at right and left, the whole on a plinth resting on a semi-circular step"
Alexander von Humboldt,"Central Park

Manhattan",Bust (over life-size) on pedestal
Alfred J. Kennedy Memorial Flagstaff,"Flushing Greens

Queens","Flagstaff plaque, flagstaff"
Alfred Lincoln Seligman Fountain,"Morningside Park

Manhattan","Bear on rock with faun sheltering below, and adjacent plaque"
Algernon Sidney Sullivan,"Van Cortlandt Park

Bronx",Stele with fountain bases
Alice Hochstader & Edward A. Kerbs,"Central Park

Manhattan",Tablet on exterior wall
Alice in Wonderland,"Central Park

Manhattan",Group (heroic scale)
Allerton Avenue Bridge Plaques,"Bronx Park

Bronx",Two plaques on either side of road
American Antelopes,"Central Park

Manhattan",bas-relief
American Boy,"Pelham Bay Park

Bronx",Standing male figure with plaque mounted on front of pedestal
American Memorial to Six Million Jews of Europe,"Riverside Park

Manhattan",Tablet set in walk
American Merchant Mariners Memorial,No location,"Three figures on boat, one figure is trying to grasp another figure that is in the water"
American Merchant Mariners Memorial Plaque,"The Battery

Manhattan",Plaque on base
American Museum of Natural History Tablet,"Central Park

Manhattan",Tablet
American Redout Marker,"Fort Washington Park

Manhattan","Large boulder resting on several medium-sized boulders, supported by about a dozen small boulders"
Amiable Child Memorial,"Riverside Park

Manhattan",Funeral urn on pedestal marking grave
Amphibian,"Crotona Park

Bronx",Bas-relief roundel
Andrew Haswell Green,"Central Park

Manhattan",Memorial seat
Andrew Heiskell Plaza,"Bryant Park

Manhattan","Square paved with flagstones with broad stairway enclosed by two sidewalls, top stones inscribed on stairside"
Anna Atkins Heckscher,"Central Park

Manhattan",Tablet
Annadale Memorial,"Annadale Green

Staten Island",Plaque mounted on boulder
Anthony R. Gaeta Memorial,No location,Relief plaque mounted on face of slab
Antonin Dvorak,"Stuyvesant Square

Manhattan","Standing three-quarter figure on base, plaque on ground"
Antonio Meucci Memorial,"Meucci Triangle

Brooklyn",Stele on base
Argonne-Marine Memorial Oval Marker,"Marine Park

Brooklyn",Marker
Aristotle,"Athens Square

Queens",Bronze bust on granite pedestal
Armed Forces Plaque,"Riverside Park

Manhattan",Plaque on plinth
Armenian Grove Plaque,"Union Square Park

Manhattan",Plaque set in ground
Armillary Sphere,"Sutton Parks

Manhattan",Armillary sphere and sundial on circular pedestal
Arsenal Landmark Plaque,"Central Park

Manhattan",Plaque and small circular medallion
Arsenal Mural,"Central Park

Manhattan","Mural covering north, east, and south walls of lobby, and continuing on west wall at balcony level; complementary painted decoration of west wall and two columns at lobby level"
Arthur Brisbane Monument,"Central Park

Manhattan",Shaft with bench beside it (all one piece) with sunken bas-relief medallion above the bench
Arthur Cunningham,"Cunningham Park

Queens",Bust
